Dog,Sex,Age,FDPhase,OwnerFirst_0.StrangerFirst_1,Order,StressSignals_BOw,StressSignals_BStr,StressSignals_FDOw,StressSignals_FDStr,StressSignals_POw,StressSignals_PStr,InteractionWithOwner_Bow,InteractionWithOwner_BStr,InteractionWithOwner_FDOw,InteractionWithOwner_FDStr,InteractionWithOwner_POw,InteractionWithOwner_PStr,InteractionWithStranger_BOw,InteractionWithStranger_BStr,InteractionWithStranger_FDOw,InteractionWithStranger_FDStr,InteractionWithStranger_POw,InteractionWithStranger_PStr,Vocalizations_BOw,Vocalizations_BStr,Vocalizations_FDOw,Vocalizations_FDStr,Vocalizations_POw,Vocalizations_PStr,ExploreRoom_BOw,ExploreRoom_BStr,ExploreRoom_FDOw,ExploreRoom_FDStr,ExploreRoom_POw,ExploreRoom_PStr,LookAtObject_BOw,LookAtObject_BStr,LookAtObject_FDOw,LookAtObject_FDStr,LookAtObject_POw,LookAtObject_PStr,InteractionWithObject_BOw,InteractionWithObject_BStr,InteractionWithObject_FDOw,InteractionWithObject_FDStr,InteractionWithObject_POw,InteractionWithObject_PStr,Chew_Bow,Chew_BStr,Chew_FDOw,Chew_FDStr,Chew_POw,Chew_PStr,Bite_BOw,Bite_BStr,Bite_FDOw,Bite_FDStr,Bite_POw,Bite_PStr,OrientationToDoor_BOw,OrientationToDoor_BStr,OrientationToDoor_FDOw,OrientationToDoor_FDStr,OrientationToDoor_POw,OrientationToDoor_PStr,SocialInvestigation_FDOw,SocialInvestigation_FDStr,AttentionToOwner_BOW,AttentionToOwner_BSTR,AttentionToOwner_FDOW,AttentionToOwner_FDSTR,AttentionToOwner_POW,AttentionToOwner_PSTR,AttentionToStranger_BOW,AttentionToStranger_BSTR,AttentionToStranger_FDOW,AttentionToStranger_FDSTR,AttentionToStranger_POW,AttentionToStranger_PSTR
33,F,2,1,0,FD-P-B,0,1,0,1,0,1,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.92,61.9,7.37,18.18,7.09,0,4.24,0.95,15.09,0.65,4.61,0,4.59,0,10.88,0,52.48,0,0,0,3.51,0,0,0,0,0,0,0,0,0,6.01,0,0,0,1.77,0,7.37,0,6.71,4.13,35.09,2.92,1.42,0,36.04,7.94,3.86,45.45,1.06,2.56
34,F,4.5,1,0,FD-P-B,3,7,4,13,7,7,1.06,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,12.14,54.64,7.07,19.72,0,0,0,2.14,0,0,0,0,0,8.93,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,42.91,59.74,14.64,74.28,53.17,88.46,2.84,23,0,5.47,1.41,6.73
35,F,5,1,0,FD-P-B,0,3,0,1,0,1,1.77,0,0,4.78,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,20.57,29.87,16.14,43.95,27.78,48.24,0,0,2.46,1.91,0,0,0,0,2.46,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,45.04,50.94,0,0,1.04,0,7.02,0,19.5,8.81,26.67,2.55,20.83,9.27,3.9,5.97,2.81,10.83,1.74,2.56
36,F,6,3,0,P-B-FD,3,1,1,0,5,0,17.89,0,0,84.54,19.72,76.13,0.35,0,0,0,0.7,0,0,0,0,0,0,0,15.79,0,0,0,19.72,19.03,3.86,0,18.31,1.26,3.87,0,2.11,0,7.75,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,41.08,0.7,0,0,0,10.56,0,5.61,2.23,32.39,0,8.1,0,15.44,0,12.32,5.99,0.7,0.97
37,M,2.5,3,0,P-B-FD,2,4,6,3,0,1,0,0.65,5.34,1.98,0,0.65,1.52,1.96,0.76,0,0,0,0,0,0,0,0,0,41.06,32.68,11.07,52.48,82.63,97.07,0,0,38.93,3.63,0,0,0,0,24.81,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,18.95,1.91,7.26,0,0,0,0,16.73,29.41,1.53,21.12,0.77,0.65,6.84,1.96,3.82,21.12,0,0
38,M,5.5,2,1,B-FD-P,1,1,2,0,2,7,0,0,0,0,0,0,0,0,5.26,2.03,0,0,0,0,0,0,0,0,67.67,97.29,20.39,41.06,17.11,23.24,0.67,0,0,0,6.91,0.83,0,0,0,9.35,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,2.85,16.33,0,0,2.03,4.61,0,2.33,0,2.63,2.03,23.36,13.69
39,F,1.5,3,1,P-B-FD,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,22.07,54.12,19.73,6.15,51.66,68.9,0,0,33.44,35.25,1.32,7.09,0,0,7.36,31.97,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2.01,0,10.93,3.54,0,11.89,39.8,29.41,24.41,3.69,16.89,8.27,6.35,3.14,2.01,5.74,2.32,0
40,M,9,3,1,P-B-FD,0,0,0,1,2,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,5.03,24.43,0,9.92,65.45,54.44,0,1.15,19.09,11.16,0.66,0,0,4.58,37.22,9.92,4.32,15.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,25.62,0,0,25.57,35.12,2.99,2.32,0,0.38,1.62,35.12,1.33,0
41,F,3.5,1,0,FD-B-P,1,1,0,5,1,0,7.33,0,0,8.91,29.59,2.3,6.59,0,2.29,0,0,19.41,0,0,0,0,0,0,41.39,63.67,24.05,20.79,0,26.64,3.66,0,10.31,0,37.45,16.78,0.73,0,17.94,3.96,5.99,15.79,0,0,0,0,19.48,8.88,0,0,0,0,0,0,6.59,0,3.05,0,0,0,4.2,0,5.86,4.33,11.07,10.89,4.49,0,15.75,21,0,10.23,2.62,0.99
42,F,8,2,1,B-FD-P,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,1.55,0,0,0,4.9,0,0,0,4.02,1.65,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,6.98,0,3.21,0,28.57
